,Group1,res,method,operation,output,label,pattern,Group2,Group3,analysis,name,dec,rnd,disp
1,Placebo,86,Mth01_CatVar_Count_ByGrp,Mth01_CatVar_Count_ByGrp_1_n,Out14-1-1,n,(N=XX),,,An01_05_SAF_Summ_ByTrt,Summary of Subjects by Treatment,0,86,(N=86)
2,Xanomeline High Dose,84,Mth01_CatVar_Count_ByGrp,Mth01_CatVar_Count_ByGrp_1_n,Out14-1-1,n,(N=XX),,,An01_05_SAF_Summ_ByTrt,Summary of Subjects by Treatment,0,84,(N=84)
3,Xanomeline Low Dose,84,Mth01_CatVar_Count_ByGrp,Mth01_CatVar_Count_ByGrp_1_n,Out14-1-1,n,(N=XX),,,An01_05_SAF_Summ_ByTrt,Summary of Subjects by Treatment,0,84,(N=84)
4,Placebo,86,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_1_n,Out14-1-1,n,XX,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,0,86,86
5,Xanomeline High Dose,84,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_1_n,Out14-1-1,n,XX,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,0,84,84
6,Xanomeline Low Dose,84,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_1_n,Out14-1-1,n,XX,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,0,84,84
7,Placebo,75.20930233,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_2_Mean,Out14-1-1,Mean,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,75.2,75.2
8,Xanomeline High Dose,74.38095238,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_2_Mean,Out14-1-1,Mean,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,74.4,74.4
9,Xanomeline Low Dose,75.66666667,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_2_Mean,Out14-1-1,Mean,XX.X,,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,1,75.7,75.7
10,Placebo,8.590167127,Mth02_ContVar_Summ_ByGrp,Mth02_ContVar_Summ_ByGrp_3_SD,Out14-1-1,SD,(XX.XX),,,An03_01_Age_Summ_ByTrt,Summary of Age by Treatment,2,8.59,-8.59
